,undergrad,source,target,job,counts,grad
10,,18,41,Data Analyst,38.35390947,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
11,,18,42,Data Scientist,38.35390947,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
12,,18,31,Product Manager,38.35390947,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
13,,18,43,Start-up Founder,38.35390947,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
14,,19,44,Digital Marketing Manager,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
15,,19,45,Marketing Communications Manager,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
16,,19,46,Marketing Director,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
17,,19,47,Market Research Analyst,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
18,,19,48,Product Development Manager,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
19,,19,49,Public Relations Manager,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
20,,19,50,Senior Marketing Program Manager,38.35390947,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
21,,20,51,Financial analyst,38.35390947,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
22,,20,52,Investment Analyst,38.35390947,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
23,,20,53,Mathematician,38.35390947,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
24,,20,54,Quantitative Analyst,38.35390947,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
25,,20,55,Statistician,38.35390947,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
26,,23,56,Econometrician,38.35390947,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
